/D (x=0.8) X,/D (x=0.8) Y,/CK (x=0.8) X,/CK (x=0.8) Y,/QD (x=0.8) X,/QD (x=0.8) Y
3.769826772477717e-08,0.8,3.769826772477717e-08,0,3.769826772477717e-08,4.878071961036847e-08
4.169826772477718e-08,0.8,4.169826772477718e-08,0,4.169826772477718e-08,4.942735421215139e-08
4.569826772477718e-08,0.8,4.569826772477718e-08,0,4.569826772477718e-08,4.878032366467435e-08
4.969826772477718e-08,0.8,4.969826772477718e-08,0,4.969826772477718e-08,4.942774816793411e-08
5.369826772477719e-08,0.8,5.369826772477719e-08,0,5.369826772477719e-08,4.877993168537945e-08
5.769826772477719e-08,0.8,5.769826772477719e-08,0,5.769826772477719e-08,4.942813818364972e-08
6.169826772477719e-08,0.8,6.169826772477719e-08,0,6.169826772477719e-08,4.8779543620418e-08
6.569826772477719e-08,0.8,6.569826772477719e-08,0,6.569826772477719e-08,4.942852431107473e-08
6.969826772477718e-08,0.8,6.969826772477718e-08,0,6.969826772477718e-08,4.877915941787001e-08
7.369826772477718e-08,0.8,7.369826772477718e-08,0,7.369826772477718e-08,4.942890660115576e-08
7.769826772477718e-08,0.8,7.769826772477718e-08,0,7.769826772477718e-08,4.877877902773275e-08
8.169826772477717e-08,0.8,8.169826772477717e-08,0,8.169826772477717e-08,4.942928510394428e-08
8.569826772477717e-08,0.8,8.569826772477717e-08,0,8.569826772477717e-08,4.877840240006802e-08
8.969826772477716e-08,0.8,8.969826772477716e-08,0,8.969826772477716e-08,4.942965986866371e-08
9.369826772477716e-08,0.8,9.369826772477716e-08,0,9.369826772477716e-08,4.877802948599936e-08
9.769826772477716e-08,0.8,9.769826772477716e-08,0,9.769826772477716e-08,4.943003094403216e-08
1.016982677247772e-07,0.8,1.016982677247772e-07,0,1.016982677247772e-07,4.877766023754111e-08
1.056982677247771e-07,0.8,1.056982677247771e-07,0,1.056982677247771e-07,4.943039837745936e-08
1.096982677247771e-07,0.8,1.096982677247771e-07,0,1.096982677247771e-07,4.877729460742479e-08
1.136982677247771e-07,0.8,1.136982677247771e-07,0,1.136982677247771e-07,4.943076221582544e-08
1.176982677247771e-07,0.8,1.176982677247771e-07,0,1.176982677247771e-07,4.877693254950461e-08
1.216982677247771e-07,0.8,1.216982677247771e-07,0,1.216982677247771e-07,4.943112250467562e-08
1.256982677247771e-07,0.8,1.256982677247771e-07,0,1.256982677247771e-07,4.877657401836897e-08
1.296982677247772e-07,0.8,1.296982677247772e-07,0,1.296982677247772e-07,4.943147928937658e-08
1.336982677247772e-07,0.8,1.336982677247772e-07,0,1.336982677247772e-07,4.877621896909663e-08
1.376982677247772e-07,0.8,1.376982677247772e-07,0,1.376982677247772e-07,4.94318326143653e-08
1.416982677247772e-07,0.8,1.416982677247772e-07,0,1.416982677247772e-07,4.877586735722114e-08
1.456982677247772e-07,0.8,1.456982677247772e-07,0,1.456982677247772e-07,4.943218252356423e-08
1.496982677247772e-07,0.8,1.496982677247772e-07,0,1.496982677247772e-07,4.877551914001299e-08
1.536982677247772e-07,0.8,1.536982677247772e-07,0,1.536982677247772e-07,4.943252905971684e-08
1.576982677247772e-07,0.8,1.576982677247772e-07,0,1.576982677247772e-07,4.877517427437008e-08
1.616982677247772e-07,0.8,1.616982677247772e-07,0,1.616982677247772e-07,4.943287226530617e-08
1.656982677247772e-07,0.8,1.656982677247772e-07,0,1.656982677247772e-07,4.877483271860298e-08
1.696982677247772e-07,0.8,1.696982677247772e-07,0,1.696982677247772e-07,4.943321218161238e-08
1.736982677247773e-07,0.8,1.736982677247773e-07,0,1.736982677247773e-07,4.87744944314417e-08
1.768491338623886e-07,0.8,1.768491338623886e-07,0,1.768491338623886e-07,4.943359396851128e-08
1.8e-07,0.8,1.8e-07,0,1.8e-07,4.877406962313078e-08
1.80000009765625e-07,0.8,1.80000009765625e-07,0.0007812499989958615,1.80000009765625e-07,2.266960230547507e-06
1.80000029296875e-07,0.8,1.80000029296875e-07,0.002343749996987585,1.80000029296875e-07,1.006119951976779e-05
1.800000683593749e-07,0.8,1.800000683593749e-07,0.005468749992971031,1.800000683593749e-07,3.367166921153713e-05
1.80000086430265e-07,0.8,1.80000086430265e-07,0.006914421201413844,1.80000086430265e-07,5.1567133660156e-05
1.800001225720452e-07,0.8,1.800001225720452e-07,0.009805763618299471,1.800001225720452e-07,7.744400313334956e-05
1.800001948556056e-07,0.8,1.800001948556056e-07,0.01558844845207073,1.800001948556056e-07,0.0001240590678837143
1.800003025895218e-07,0.8,1.800003025895218e-07,0.02420716174076647,1.800003025895218e-07,0.0001916654520691244
1.800005024510905e-07,0.8,1.800005024510905e-07,0.04019608724324409,1.800005024510905e-07,0.0002989880664937019
1.800008511238149e-07,0.8,1.800008511238149e-07,0.06808990519401752,1.800008511238149e-07,0.0004504015265156302
1.800014777112026e-07,0.8,1.800014777112026e-07,0.1182168962119093,1.800014777112026e-07,0.0006167944898128219
1.800026547212211e-07,0.8,1.800026547212211e-07,0.212377697685706,1.800026547212211e-07,0.0006967719589290317
1.800046544204954e-07,0.8,1.800046544204954e-07,0.3723536396314327,1.800046544204954e-07,0.0004942778737554907
1.800071660655756e-07,0.8,1.800071660655756e-07,0.5732852460457231,1.800071660655756e-07,0.0001102795033294998
1.800085830327878e-07,0.8,1.800085830327878e-07,0.6866426230222563,1.800085830327878e-07,-5.45107751077296e-05
1.8001e-07,0.8,1.8001e-07,0.8,1.8001e-07,-0.000187551401294893
1.800100949717148e-07,0.8,1.800100949717148e-07,0.8,1.800100949717148e-07,-0.0003100549958956177
1.800102849151445e-07,0.8,1.800102849151445e-07,0.8,1.800102849151445e-07,-0.0004975541960006247
1.800103798868593e-07,0.8,1.800103798868593e-07,0.8,1.800103798868593e-07,-0.000582363470312099
1.800105698302889e-07,0.8,1.800105698302889e-07,0.8,1.800105698302889e-07,-0.0007258979387135362
1.800109497171482e-07,0.8,1.800109497171482e-07,0.8,1.800109497171482e-07,-0.0009427395134732473
1.800110942943211e-07,0.8,1.800110942943211e-07,0.8,1.800110942943211e-07,-0.0009931814907307122
1.80011383448667e-07,0.8,1.80011383448667e-07,0.8,1.80011383448667e-07,-0.001056501796829565
1.800119617573589e-07,0.8,1.800119617573589e-07,0.8,1.800119617573589e-07,-0.001103528180729842
1.800130999827369e-07,0.8,1.800130999827369e-07,0.8,1.800130999827369e-07,-0.001007737345532031
1.800151753846822e-07,0.8,1.800151753846822e-07,0.8,1.800151753846822e-07,-0.000600908449402816
1.800176861137294e-07,0.8,1.800176861137294e-07,0.8,1.800176861137294e-07,-0.000164156655740114
1.80021115827927e-07,0.8,1.80021115827927e-07,0.8,1.80021115827927e-07,8.065140059520317e-05
1.80025157745149e-07,0.8,1.80025157745149e-07,0.8,1.80025157745149e-07,0.0001213062259812901
1.800306200077449e-07,0.8,1.800306200077449e-07,0.8,1.800306200077449e-07,0.0001513539437447115
1.800352297795433e-07,0.8,1.800352297795433e-07,0.8,1.800352297795433e-07,0.0002871360755276098
1.800402946255788e-07,0.8,1.800402946255788e-07,0.8,1.800402946255788e-07,0.0004535687649978652
1.800454779916539e-07,0.8,1.800454779916539e-07,0.8,1.800454779916539e-07,0.0004574593752455691
1.800496428312911e-07,0.8,1.800496428312911e-07,0.8,1.800496428312911e-07,0.0004587783580381792
1.80054133794524e-07,0.8,1.80054133794524e-07,0.8,1.80054133794524e-07,0.000545513755303252
1.800574792707729e-07,0.8,1.800574792707729e-07,0.8,1.800574792707729e-07,0.0006944284222079113
1.800613399776515e-07,0.8,1.800613399776515e-07,0.8,1.800613399776515e-07,0.0009553971627894082
1.800645722893929e-07,0.8,1.800645722893929e-07,0.8,1.800645722893929e-07,0.001195973433839459
1.800675069734121e-07,0.8,1.800675069734121e-07,0.8,1.800675069734121e-07,0.001356458585656697
1.800711162076767e-07,0.8,1.800711162076767e-07,0.8,1.800711162076767e-07,0.001399142107661699
1.800741998729572e-07,0.8,1.800741998729572e-07,0.8,1.800741998729572e-07,0.001263416567617103
1.800776972780948e-07,0.8,1.800776972780948e-07,0.8,1.800776972780948e-07,0.0008690357458367993
1.800823158436178e-07,0.8,1.800823158436178e-07,0.8,1.800823158436178e-07,-0.0002506738012235722
1.800886016028975e-07,0.8,1.800886016028975e-07,0.8,1.800886016028975e-07,-0.003752989636051971
1.800942077353471e-07,0.8,1.800942077353471e-07,0.8,1.800942077353471e-07,-0.009707423127020869
1.801001968880399e-07,0.8,1.801001968880399e-07,0.8,1.801001968880399e-07,-0.02268201566954232
1.801066993170757e-07,0.8,1.801066993170757e-07,0.8,1.801066993170757e-07,-0.05535042803032472
1.801133911302945e-07,0.8,1.801133911302945e-07,0.8,1.801133911302945e-07,-0.09187103433737079
1.801166433286159e-07,0.8,1.801166433286159e-07,0.8,1.801166433286159e-07,-0.08471224559821358
1.801202077055238e-07,0.8,1.801202077055238e-07,0.8,1.801202077055238e-07,-0.01843889142122038
1.801228416516849e-07,0.8,1.801228416516849e-07,0.8,1.801228416516849e-07,0.07825989819149246
1.801262701301139e-07,0.8,1.801262701301139e-07,0.8,1.801262701301139e-07,0.2508274321750176
1.801294272140846e-07,0.8,1.801294272140846e-07,0.8,1.801294272140846e-07,0.4321270378156177
1.8013201983183e-07,0.8,1.8013201983183e-07,0.8,1.8013201983183e-07,0.5772110028148141
1.801344989291164e-07,0.8,1.801344989291164e-07,0.8,1.801344989291164e-07,0.6904052563629721
1.801366707649161e-07,0.8,1.801366707649161e-07,0.8,1.801366707649161e-07,0.7479234179231208
1.801386416992181e-07,0.8,1.801386416992181e-07,0.8,1.801386416992181e-07,0.7710606823966819
1.801404741004219e-07,0.8,1.801404741004219e-07,0.8,1.801404741004219e-07,0.7820809685602057
1.801423339163794e-07,0.8,1.801423339163794e-07,0.8,1.801423339163794e-07,0.7886278268312619
1.801448050466382e-07,0.8,1.801448050466382e-07,0.8,1.801448050466382e-07,0.7935667836648976
1.801482822212487e-07,0.8,1.801482822212487e-07,0.8,1.801482822212487e-07,0.796971676681577
1.801528603768801e-07,0.8,1.801528603768801e-07,0.8,1.801528603768801e-07,0.7987947788839999
1.80159026918013e-07,0.8,1.80159026918013e-07,0.8,1.80159026918013e-07,0.7996330144767049
1.801676392268993e-07,0.8,1.801676392268993e-07,0.8,1.801676392268993e-07,0.7999351530588872
1.801785244790367e-07,0.8,1.801785244790367e-07,0.8,1.801785244790367e-07,0.799993415705162
1.801940993555443e-07,0.8,1.801940993555443e-07,0.8,1.801940993555443e-07,0.7999983995233676
1.802197283705569e-07,0.8,1.802197283705569e-07,0.8,1.802197283705569e-07,0.8000002103032366
1.802635355618053e-07,0.8,1.802635355618053e-07,0.8,1.802635355618053e-07,0.7999995865343468
1.803223220572411e-07,0.8,1.803223220572411e-07,0.8,1.803223220572411e-07,0.8000002491128735
1.803987602470689e-07,0.8,1.803987602470689e-07,0.8,1.803987602470689e-07,0.799999647969757
1.804543801235344e-07,0.8,1.804543801235344e-07,0.8,1.804543801235344e-07,0.800000244741765
1.8051e-07,0.8,1.8051e-07,0.8,1.8051e-07,0.7999996664437738
1.80510009765625e-07,0.8,1.80510009765625e-07,0.7992187499970916,1.80510009765625e-07,0.7999979959948028
1.805100292968751e-07,0.8,1.805100292968751e-07,0.7976562499948647,1.805100292968751e-07,0.7999915618342941
1.805100683593751e-07,0.8,1.805100683593751e-07,0.7945312499904109,1.805100683593751e-07,0.7999721825402469
1.805101394804271e-07,0.8,1.805101394804271e-07,0.7888415658315329,1.805101394804271e-07,0.7999322754113274
1.805101625646347e-07,0.8,1.805101625646347e-07,0.7869948292235981,1.805101625646347e-07,0.7999199982077977
1.805102087330499e-07,0.8,1.805102087330499e-07,0.7833013560077283,1.805102087330499e-07,0.7998971393790842
1.805103010698803e-07,0.8,1.805103010698803e-07,0.7759144095759889,1.805103010698803e-07,0.7998528453673357
1.805104640016438e-07,0.8,1.805104640016438e-07,0.7628798684972127,1.805104640016438e-07,0.7997815865698746
1.805107898651708e-07,0.8,1.805107898651708e-07,0.7368107863396605,1.805107898651708e-07,0.7996609255200466
1.805114415922247e-07,0.8,1.805114415922247e-07,0.6846726220245558,1.805114415922247e-07,0.7994938529698161
1.805127450463326e-07,0.8,1.805127450463326e-07,0.5803962933943467,1.805127450463326e-07,0.7993610340764373
1.805151615633837e-07,0.8,1.805151615633837e-07,0.3870749293003773,1.805151615633837e-07,0.7994599469299056
1.805175807816919e-07,0.8,1.805175807816919e-07,0.1935374646488376,1.805175807816919e-07,0.7996765837455618
1.80518790390846e-07,0.8,1.80518790390846e-07,0.096768732322009,1.80518790390846e-07,0.7998349208272376
1.8052e-07,0.8,1.8052e-07,0,1.8052e-07,0.7999263803206839
1.805200849598151e-07,0.8,1.805200849598151e-07,0,1.805200849598151e-07,0.8000000064118425
1.805202548794451e-07,0.8,1.805202548794451e-07,0,1.805202548794451e-07,0.8001654556827096
1.805203398392601e-07,0.8,1.805203398392601e-07,0,1.805203398392601e-07,0.8002470032106705
1.805205097588902e-07,0.8,1.805205097588902e-07,0,1.805205097588902e-07,0.8003870438732028
1.805208130232266e-07,0.8,1.805208130232266e-07,0,1.805208130232266e-07,0.8005977447939222
1.805212497346062e-07,0.8,1.805212497346062e-07,0,1.805212497346062e-07,0.8008150369868995
1.805221231573654e-07,0.8,1.805221231573654e-07,0,1.805221231573654e-07,0.8010342453773025
1.805225481722036e-07,0.8,1.805225481722036e-07,0,1.805225481722036e-07,0.8010486978472544
1.805233982018799e-07,0.8,1.805233982018799e-07,0,1.805233982018799e-07,0.8009964852787728
1.805250982612327e-07,0.8,1.805250982612327e-07,0,1.805250982612327e-07,0.8007485176286427
1.805277580292816e-07,0.8,1.805277580292816e-07,0,1.805277580292816e-07,0.8003243429564181
1.805311026330928e-07,0.8,1.805311026330928e-07,0,1.805311026330928e-07,0.799996828550776
1.805351875418086e-07,0.8,1.805351875418086e-07,0,1.805351875418086e-07,0.7998727331325477
1.805401911726594e-07,0.8,1.805401911726594e-07,0,1.805401911726594e-07,0.7998837562246262
1.805458336706534e-07,0.8,1.805458336706534e-07,0,1.805458336706534e-07,0.7999289418958568
1.805502338272133e-07,0.8,1.805502338272133e-07,0,1.805502338272133e-07,0.7999524328394053
1.805540236639479e-07,0.8,1.805540236639479e-07,0,1.805540236639479e-07,0.7999680120246326
1.805568909431171e-07,0.8,1.805568909431171e-07,0,1.805568909431171e-07,0.7999769598817779
1.805590305840939e-07,0.8,1.805590305840939e-07,0,1.805590305840939e-07,0.799985639086423
1.805612668184665e-07,0.8,1.805612668184665e-07,0,1.805612668184665e-07,0.7999886553188035
1.805635409771568e-07,0.8,1.805635409771568e-07,0,1.805635409771568e-07,0.7999930384089988
1.805662363056773e-07,0.8,1.805662363056773e-07,0,1.805662363056773e-07,0.7999967304139584
1.805689059846581e-07,0.8,1.805689059846581e-07,0,1.805689059846581e-07,0.7999997326483665
1.805724008045955e-07,0.8,1.805724008045955e-07,0,1.805724008045955e-07,0.8000014829590996
1.805769119901766e-07,0.8,1.805769119901766e-07,0,1.805769119901766e-07,0.8000027816421931
1.805832265989401e-07,0.8,1.805832265989401e-07,0,1.805832265989401e-07,0.8000023274856889
1.805925020820744e-07,0.8,1.805925020820744e-07,0,1.805925020820744e-07,0.8000012781498315
1.806035090660777e-07,0.8,1.806035090660777e-07,0,1.806035090660777e-07,0.7999997934527704
1.806178121947213e-07,0.8,1.806178121947213e-07,0,1.806178121947213e-07,0.7999996895384898
1.806376263689882e-07,0.8,1.806376263689882e-07,0,1.806376263689882e-07,0.7999996480089095
1.806685641434709e-07,0.8,1.806685641434709e-07,0,1.806685641434709e-07,0.8000000871843381
1.807089871510524e-07,0.8,1.807089871510524e-07,0,1.807089871510524e-07,0.7999998157338056
1.807675887319984e-07,0.8,1.807675887319984e-07,0,1.807675887319984e-07,0.8000000889234617
1.808444901094194e-07,0.8,1.808444901094194e-07,0,1.808444901094194e-07,0.7999998217616392
1.809222450547097e-07,0.8,1.809222450547097e-07,0,1.809222450547097e-07,0.8000000880566071
1.81e-07,0.8,1.81e-07,0,1.81e-07,0.7999998229084507
1.810000390625e-07,0.8,1.810000390625e-07,0.003124999999871195,1.810000390625e-07,0.8000231848045197
1.810001171875e-07,0.8,1.810001171875e-07,0.009375000000308416,1.810001171875e-07,0.8000810096223903
1.810002734375e-07,0.8,1.810002734375e-07,0.02187500000118286,1.810002734375e-07,0.8002092423676272
1.81000449436503e-07,0.8,1.81000449436503e-07,0.0359549202426961,1.81000449436503e-07,0.8004157252899033
1.810007068907449e-07,0.8,1.810007068907449e-07,0.05655125959137279,1.810007068907449e-07,0.8006062309863052
1.81001199832136e-07,0.8,1.81001199832136e-07,0.09598657087980009,1.81001199832136e-07,0.8008696826439949
1.810020156286891e-07,0.8,1.810020156286891e-07,0.1612502951265291,1.810020156286891e-07,0.8010873789336268
1.810034760404989e-07,0.8,1.810034760404989e-07,0.2780832399099105,1.810034760404989e-07,0.8010789084643833
1.81005863013308e-07,0.8,1.81005863013308e-07,0.4690410646363851,1.81005863013308e-07,0.8006270063375014
1.81007931506654e-07,0.8,1.81007931506654e-07,0.6345205323195312,1.81007931506654e-07,0.7999924254367914
1.81008965753327e-07,0.8,1.81008965753327e-07,0.7172602661600456,1.81008965753327e-07,0.7996516926700892
1.8101e-07,0.8,1.8101e-07,0.8,1.8101e-07,0.7991892549138875
1.81010090716161e-07,0.8,1.81010090716161e-07,0.8,1.81010090716161e-07,0.7991066594878149
1.810101360742415e-07,0.8,1.810101360742415e-07,0.8,1.810101360742415e-07,0.7990639480197205
1.810102267904026e-07,0.8,1.810102267904026e-07,0.8,1.810102267904026e-07,0.798980360936796
1.810104082227246e-07,0.8,1.810104082227246e-07,0.8,1.810104082227246e-07,0.7988322848988822
1.81010690947571e-07,0.8,1.81010690947571e-07,0.8,1.81010690947571e-07,0.7986362196141195
1.810108323099943e-07,0.8,1.810108323099943e-07,0.8,1.810108323099943e-07,0.7985483505833213
1.810111150348407e-07,0.8,1.810111150348407e-07,0.8,1.810111150348407e-07,0.798406048877416
1.810116804845336e-07,0.8,1.810116804845336e-07,0.8,1.810116804845336e-07,0.798234675478912
1.810128113839194e-07,0.8,1.810128113839194e-07,0.8,1.810128113839194e-07,0.7981890613094149
1.81015073182691e-07,0.8,1.81015073182691e-07,0.8,1.81015073182691e-07,0.7986249927927037
1.810178677702627e-07,0.8,1.810178677702627e-07,0.8,1.810178677702627e-07,0.7993494568100624
1.810212922256716e-07,0.8,1.810212922256716e-07,0.8,1.810212922256716e-07,0.799946273336489
1.810246465692818e-07,0.8,1.810246465692818e-07,0.8,1.810246465692818e-07,0.8002146421667086
1.81028779974141e-07,0.8,1.81028779974141e-07,0.8,1.81028779974141e-07,0.8002776133689382
1.8103336326939e-07,0.8,1.8103336326939e-07,0.8,1.8103336326939e-07,0.8003614815741594
1.810383354745967e-07,0.8,1.810383354745967e-07,0.8,1.810383354745967e-07,0.8005084074978389
1.810433100034359e-07,0.8,1.810433100034359e-07,0.8,1.810433100034359e-07,0.8004591286657458
1.810498527051356e-07,0.8,1.810498527051356e-07,0.8,1.810498527051356e-07,0.8001746267753215
1.810545536489439e-07,0.8,1.810545536489439e-07,0.8,1.810545536489439e-07,0.8000037347771655
1.810605740387065e-07,0.8,1.810605740387065e-07,0.8,1.810605740387065e-07,0.7999161323171926
1.810676856731403e-07,0.8,1.810676856731403e-07,0.8,1.810676856731403e-07,0.7999019726549557
1.810777114545188e-07,0.8,1.810777114545188e-07,0.8,1.810777114545188e-07,0.799938093319112
1.810908235989975e-07,0.8,1.810908235989975e-07,0.8,1.810908235989975e-07,0.7999859544775932
1.811065422619484e-07,0.8,1.811065422619484e-07,0.8,1.811065422619484e-07,0.7999941215787802
1.811265922632782e-07,0.8,1.811265922632782e-07,0.8,1.811265922632782e-07,0.8000002167934771
1.811548592958169e-07,0.8,1.811548592958169e-07,0.8,1.811548592958169e-07,0.7999990231656841
